Order ID,Customer Name,Order Date,Order Priority,Product Name,Unit Price,Quantity
2791,Eugene Barchas,10/9/2009,High,root vegetables,30.98,18
2976,Edward Hooks,12/9/2010,Not Specified,citrus fruit,500.98,30
3232,Brad Eason,10/8/2012,Critical,sausage,7.84,5
3524,Nicole Hansen,5/2/2012,High,tropical fruit,18.97,21
3908,Dorothy Wardle,3/8/2010,Medium,berries,115.99,8
4132,Aaron Bergman,5/28/2011,Not Specified,canned beer,2.88,5
4612,Jim Radford,9/19/2010,Medium,butter milk,4.48,9
4676,Annie Cyprus,8/31/2011,High,coffee,125.99,11
4676,Annie Cyprus,8/31/2011,High,pastry,3.75,50
4676,Annie Cyprus,8/31/2011,High,rolls/buns,12.28,3
4676,Annie Cyprus,8/31/2011,High,misc. beverages,155.99,30
5284,Annie Cyprus,7/8/2011,Not Specified,root vegetables,8.69,7
5316,Clay Rozendal,1/30/2009,Critical,sausage,31.78,42
5409,Don Jones,1/8/2012,Low,canned beer,3.98,11
5506,Beth Thompson,11/7/2010,Critical,ham,5.88,22
5569,Frank Price,4/29/2010,Not Specified,turkey,9.65,12
5607,Michelle Lonsdale,12/31/2011,Not Specified,whole milk,7.99,8
5894,Ann Chong,8/12/2009,High,whole milk,58.1,7
5894,Ann Chong,8/12/2009,High,packaged fruit/vegetables,80.48,3
5925,Joy Bell,11/12/2011,Low,rolls/buns,92.23,44
5925,Joy Bell,11/12/2011,Low,ham,85.99,25
6016,Skye Norling,1/20/2012,High,rolls/buns,11.48,19
6116,Barry Weirich,3/20/2009,Medium,other vegetables,1637.53,6
6182,Grant Carroll,7/21/2012,Low,sausage,6.48,40
6182,Grant Carroll,7/21/2012,Low,sausage,6.48,18
6535,Adrian Hane,6/12/2012,Critical,frankfurter,28.15,11
6884,Skye Norling,1/15/2009,Low,rolls/buns,4.98,41
6884,Skye Norling,1/15/2009,Low,whole milk,6.35,47
6916,Andrew Gjertsen,6/4/2010,Low,curd cheese,10.9,40
6980,Ralph Knight,2/18/2010,Not Specified,red/blush wine,7.3,18
6982,Dorothy Wardle,11/16/2011,Not Specified,sausage,39.48,32
6982,Dorothy Wardle,11/16/2011,Not Specified,tropical fruit,100.98,5
6982,Dorothy Wardle,11/16/2011,Not Specified,red/blush wine,19.98,41
7110,Grant Carroll,8/7/2011,Low,whole milk,276.2,22
7430,Barry Weirich,6/8/2010,Medium,frankfurter,15.67,50
7906,Beth Paige,10/17/2009,Medium,whole milk,25.98,37
8391,Sylvia Foulston,8/28/2011,High,frozen potato products,300.98,4
8419,Nicole Hansen,9/29/2011,Critical,other vegetables,19.98,19
8419,Nicole Hansen,9/29/2011,Critical,citrus fruit,6.48,24
8833,Nicole Hansen,5/4/2012,Low,flour,80.98,40
8995,Beth Paige,5/17/2011,High,sugar,1.88,5
8995,Beth Paige,5/17/2011,High,frozen meals,6.48,41
8995,Beth Paige,5/17/2011,High,chocolate,102.3,35
8995,Beth Paige,5/17/2011,High,root vegetables,6.48,42
8995,Beth Paige,5/17/2011,High,root vegetables,1.89,46
9126,Sylvia Foulston,11/17/2009,Medium,herbs,62.05,47
9127,Bryan Davis,10/10/2011,Not Specified,bottled water,279.48,7
9509,Joy Bell,10/7/2012,Not Specified,sausage,320.98,36
9509,Joy Bell,10/7/2012,Not Specified,coffee,18.97,5
9509,Joy Bell,10/7/2012,Not Specified,pork,48.91,32
9763,Alan Barnes,8/13/2011,Medium,berries,4.13,44
9927,Grant Carroll,8/16/2011,High,soda,140.98,32
9927,Grant Carroll,8/16/2011,High,berries,218.08,44
9927,Grant Carroll,8/16/2011,High,fruit/vegetable juice,50.98,34
10022,Delfina Latchford,3/4/2009,Low,citrus fruit,10.14,1
10437,Don Jones,8/18/2009,Critical,pork,15.99,50
10499,Doug Bickford,11/16/2010,Not Specified,detergent,262.11,29
10535,Doug Bickford,5/27/2011,Low,grapes,33.98,25
10535,Doug Bickford,5/27/2011,Low,sausage,1.76,46
10789,Jamie Kunitz,8/23/2010,Not Specified,chicken,19.84,15
10791,Anthony Johnson,8/19/2011,Not Specified,whole milk,19.98,20
10945,Ralph Knight,1/3/2012,Medium,citrus fruit,95.99,14
11137,Allen Rosenblatt,11/29/2012,High,soda,111.03,48
11202,Barry Weirich,3/17/2012,Medium,sausage,43.41,8
11456,Doug Bickford,4/12/2010,Low,frankfurter,105.34,15
11460,Carl Jackson,8/24/2010,High,sausage,3.69,30
11495,Brendan Dodson,7/4/2011,High,soda,146.34,6
11911,Edward Hooks,11/10/2010,Critical,rolls/buns,15.22,25
11941,Jamie Kunitz,6/24/2010,Critical,beef,15.7,4
11941,Jamie Kunitz,6/24/2010,Critical,whole milk,179.29,26
12096,Michelle Lonsdale,9/19/2012,Medium,processed cheese,200.99,46
12096,Michelle Lonsdale,9/19/2012,Medium,tropical fruit,194.3,23
12289,Brendan Dodson,12/24/2011,Low,frankfurter,120.97,25
12352,Hunter Glantz,3/23/2012,Medium,packaged fruit/vegetables,5.81,5
12419,Sylvia Foulston,10/15/2011,Critical,whole milk,1938.02,12
12485,Eugene Barchas,8/7/2010,Critical,berries,226.67,24
12544,Jim Radford,3/3/2009,Low,citrus fruit,2.08,34
12704,Carlos Soltero,2/9/2010,Low,tropical fruit,499.99,44
12704,Carlos Soltero,2/9/2010,Low,hamburger meat,20.98,28
12771,Carlos Soltero,1/17/2009,Critical,hamburger meat,30.53,40
12771,Carlos Soltero,1/17/2009,Critical,whole milk,1.68,46
12929,Jim Radford,8/30/2010,Critical,fish,270.98,19
12929,Jim Radford,8/30/2010,Critical,frankfurter,4.48,20
13280,Grant Carroll,9/11/2009,High,packaged fruit/vegetables,10.9,40
13280,Grant Carroll,9/11/2009,High,pastry,7.99,49
13313,Skye Norling,7/16/2009,Not Specified,other vegetables,21.66,47
13346,Doug Bickford,11/15/2012,Low,misc. beverages,6.48,44
13702,Grant Carroll,9/10/2011,Low,frankfurter,35.44,6
13795,Muhammed MacIntyre,4/10/2011,Not Specified,sparkling wine,15.99,30
13795,Muhammed MacIntyre,4/10/2011,Not Specified,specialty bar,11.34,23
13795,Muhammed MacIntyre,4/10/2011,Not Specified,sausage,35.44,37
14116,Doug Bickford,10/9/2011,High,curd cheese,30.98,1
14116,Doug Bickford,10/9/2011,High,frankfurter,34.54,42
14372,Beth Thompson,10/23/2012,Critical,whole milk,170.98,34
14726,Ralph Knight,1/8/2012,Low,newspapers,20.95,15
14819,Carl Jackson,1/25/2010,Not Specified,berries,207.48,48
14819,Carl Jackson,1/25/2010,Not Specified,curd,58.14,27
15106,Dorothy Badders,1/27/2011,Not Specified,tropical fruit,6.64,42
15106,Dorothy Badders,1/27/2011,Not Specified,soda,145.45,39
15106,Dorothy Badders,1/27/2011,Not Specified,rolls/buns,2.21,35
15108,Delfina Latchford,8/27/2009,High,canned beer,40.99,50
15205,Julia West,3/17/2011,Critical,canned beer,243.98,18
15205,Julia West,3/17/2011,Critical,frankfurter,39.98,42
15591,Brad Eason,6/6/2012,Critical,other vegetables,12.58,31
15907,Thomas Seio,4/11/2011,High,whole milk,48.58,36
15907,Thomas Seio,4/11/2011,High,whole milk,105.98,36
15907,Thomas Seio,4/11/2011,High,citrus fruit,7.04,4
15937,Monica Federle,11/6/2012,Low,frankfurter,9.78,32
15937,Monica Federle,11/6/2012,Low,frankfurter,12.22,17
16039,Michelle Lonsdale,5/16/2012,High,butter milk,43.98,3
16193,Frank Price,4/9/2012,Not Specified,hamburger meat,34.76,8
16193,Frank Price,4/9/2012,Not Specified,pasta,55.99,29
16423,Bryan Davis,8/5/2012,Medium,other vegetables,6.48,19
16451,Don Jones,7/22/2009,Not Specified,sausage,30.56,9
16545,Carlos Soltero,5/9/2010,Not Specified,rolls/buns,5.16,10
16545,Carlos Soltero,5/9/2010,Not Specified,grapes,3.68,1
16547,Nicole Hansen,2/18/2009,Not Specified,root vegetables,355.98,30
16547,Nicole Hansen,2/18/2009,Not Specified,coffee,218.75,8
16706,Beth Thompson,6/27/2012,High,popcorn,41.47,47
16706,Beth Thompson,6/27/2012,High,whole milk,2.78,6
16706,Beth Thompson,6/27/2012,High,tropical fruit,155.99,49
16741,Nicole Hansen,9/30/2010,Medium,beef,22.84,6
16932,Carlos Soltero,4/15/2010,Critical,whole milk,5.78,25
16932,Carlos Soltero,4/15/2010,Critical,frankfurter,6.7,20
17283,Dorothy Badders,9/14/2011,Not Specified,tropical fruit,1360.14,4
17286,Muhammed MacIntyre,9/21/2010,High,canned beer,270.98,7
17409,Muhammed MacIntyre,8/17/2010,Not Specified,finished products,20.97,31
17764,Don Miller,9/16/2009,Low,beverages,22.84,27
18080,Sylvia Foulston,6/22/2009,High,hamburger meat,180.98,7
18113,Becky Castell,8/28/2012,Not Specified,whole milk,130.98,27
18144,Dorothy Wardle,6/7/2011,Critical,finished products,4.28,48
18144,Dorothy Wardle,6/7/2011,Critical,other vegetables,28.28,8
18144,Dorothy Wardle,6/7/2011,Critical,ham,55.99,41
18308,Ann Chong,10/9/2009,Not Specified,other vegetables,3.8,30
18308,Ann Chong,10/9/2009,Not Specified,curd,30.73,15
18308,Ann Chong,10/9/2009,Not Specified,bottled beer,125.99,49
18887,Clay Rozendal,12/5/2010,Not Specified,curd,20.99,9
19010,Grant Carroll,6/7/2009,Low,whole milk,1270.99,18
19078,Brendan Dodson,7/27/2009,Critical,whole milk,11.97,21
19138,Carlos Daly,9/5/2011,Low,dessert,12.28,30
19655,Alan Barnes,1/11/2009,High,sausage,39.24,31
19686,Alan Barnes,8/15/2010,Medium,other vegetables,17.98,2
19686,Alan Barnes,8/15/2010,Medium,ham,12.95,11
20007,Nicole Hansen,8/5/2009,Not Specified,other vegetables,1.68,49
20071,Cari Schnelling,9/17/2011,Medium,other vegetables,25.98,31
20160,Chad Cunningham,10/22/2011,Low,soda,10.31,42
20263,Bryan Mills,11/14/2009,Medium,herbs,59.78,8
20263,Bryan Mills,11/14/2009,Medium,frankfurter,20.99,33
21285,Adrian Hane,7/3/2010,Medium,rolls/buns,1.68,32
21285,Adrian Hane,7/3/2010,Medium,curd,7.08,47
21383,Rick Reed,1/30/2009,Low,frankfurter,574.74,31
21607,Heather Kirkland,3/15/2012,Not Specified,other vegetables,36.55,17
21636,Fred Wasserman,8/10/2009,Low,dog food,55.99,35
21889,Becky Castell,4/1/2010,Low,specialty bar,51.75,21
21889,Becky Castell,4/1/2010,Low,curd,55.29,16
22151,Beth Thompson,7/31/2010,High,frankfurter,9.65,49
22342,Claudia Miner,5/29/2009,Low,soda,20.99,13
22469,Jack Lebron,10/11/2010,High,beef,7.99,44
22501,Alan Barnes,5/18/2010,High,canned beer,7.64,2
22532,Carlos Soltero,2/8/2011,Critical,pork,8.85,13
23264,Clay Rozendal,12/7/2010,Critical,frankfurter,6.48,16
23264,Clay Rozendal,12/7/2010,Critical,sausage,2.88,27
23488,Julia West,1/6/2009,Critical,canned beer,880.98,30
23584,Alan Barnes,3/12/2012,Critical,specialty chocolate,200.97,14
24007,Joy Bell,8/26/2010,Low,curd,20.89,26
24007,Joy Bell,8/26/2010,Low,canned beer,11.58,28
24007,Joy Bell,8/26/2010,Low,whole milk,4.13,42
24038,Jack Lebron,6/20/2011,High,rolls/buns,2.78,38
24097,Anthony Johnson,8/4/2010,High,pork,14.48,1
24097,Anthony Johnson,8/4/2010,High,citrus fruit,99.99,27
24097,Anthony Johnson,8/4/2010,High,pot plants,4.98,2
24128,Eugene Barchas,11/23/2010,High,rolls/buns,21.98,13
24128,Eugene Barchas,11/23/2010,High,butter,195.99,43
24294,Thomas Seio,8/2/2009,Not Specified,condensed milk,200.97,24
24387,Bryan Mills,8/10/2011,Critical,sausage,40.97,23
24387,Bryan Mills,8/10/2011,Critical,whole milk,349.45,17
24515,Eugene Barchas,5/6/2010,Critical,sausage,80.97,41
24743,Sylvia Foulston,6/28/2012,Low,beverages,216.6,47
24743,Sylvia Foulston,6/28/2012,Low,beverages,140.81,26
24871,Carl Ludwig,3/23/2011,Medium,bottled water,22.72,6
25318,Julia West,11/19/2011,Critical,newspapers,19.98,22
25377,Don Jones,11/26/2012,Low,cleaner,1500.97,3
25634,Mike Pelletier,7/29/2010,Not Specified,sausage,20.95,29
25634,Mike Pelletier,7/29/2010,Not Specified,newspapers,23.99,26
25733,Eugene Barchas,5/12/2012,Low,sausage,24.92,24
25767,Ann Chong,3/3/2012,High,misc. beverages,39.48,7
25767,Ann Chong,3/3/2012,High,white wine,38.76,15
26023,Charles McCrossin,8/20/2010,High,sausage,2.47,49
26051,Annie Cyprus,6/27/2010,Not Specified,meat,33.94,22
26051,Annie Cyprus,6/27/2010,Not Specified,frankfurter,8.33,31
26116,Carlos Soltero,10/29/2012,Critical,ice cream,18.97,36
26182,Doug Bickford,1/16/2010,Not Specified,canned beer,150.98,30
26272,Carlos Daly,6/29/2012,Low,tropical fruit,140.81,6
26370,Fred Wasserman,8/8/2011,Not Specified,meat,22.84,12
26370,Fred Wasserman,8/8/2011,Not Specified,whole milk,34.76,20
26499,Sylvia Foulston,2/21/2010,Medium,sausage,2.88,11
26531,Michelle Lonsdale,6/20/2011,Medium,frankfurter,205.99,26
26567,Sylvia Foulston,9/4/2009,Critical,meat,5.4,8
26567,Sylvia Foulston,9/4/2009,Critical,root vegetables,8.46,10
26567,Sylvia Foulston,9/4/2009,Critical,root vegetables,14.98,22
26567,Sylvia Foulston,9/4/2009,Critical,whole milk,155.99,48
26854,Charlotte Melton,6/21/2009,Not Specified,citrus fruit,25.38,1
27109,Barry French,2/8/2012,Critical,citrus fruit,10.97,48
27111,Heather Kirkland,3/11/2009,High,other vegetables,99.99,11
27111,Heather Kirkland,3/11/2009,High,citrus fruit,193.17,18
27111,Heather Kirkland,3/11/2009,High,sausage,20.99,44
27264,Henry Goldwyn,6/4/2011,Low,frankfurter,19.99,3
27392,Frank Price,3/2/2012,Low,hard cheese,150.98,37
27553,Jim Radford,8/12/2011,Medium,cream cheese ,370.98,48
27553,Jim Radford,8/12/2011,Medium,turkey,179.99,16
27555,Ralph Knight,9/1/2009,Critical,pork,6.74,32
27680,Delfina Latchford,1/26/2010,Critical,whole milk,10.89,32
27680,Delfina Latchford,1/26/2010,Critical,rolls/buns,6.48,19
27778,Roy Skaria,9/2/2011,Critical,sausage,223.98,1
27778,Roy Skaria,9/2/2011,Critical,ice cream,140.98,34
27909,Monica Federle,2/7/2012,Critical,liquor,54.96,1
27909,Monica Federle,2/7/2012,Critical,pip fruit,1.26,47
28003,Charles McCrossin,3/19/2011,Critical,root vegetables,4.98,31
28035,Don Miller,5/8/2011,Not Specified,soda,18.99,19
28135,Jeremy Lonsdale,9/25/2009,Critical,soda,46.89,37
28135,Jeremy Lonsdale,9/25/2009,Critical,sausage,12.98,40
28165,Grant Carroll,7/9/2012,Not Specified,root vegetables,10.91,2
28289,Carl Ludwig,1/14/2010,High,pork,4.98,31
28486,Carlos Daly,8/26/2009,High,pork,415.88,2
28675,Ralph Knight,10/8/2009,Critical,chocolate,65.99,15
28870,Cindy Schnelling,11/10/2011,High,fruit/vegetable juice,115.99,35
28871,Claudia Miner,4/15/2012,High,pickled vegetables,5.02,10
29030,Roy Skaria,1/2/2012,Medium,bottled water,19.84,10
29095,Delfina Latchford,3/8/2011,Not Specified,frankfurter,6.75,40
29287,Edward Hooks,7/2/2009,High,tropical fruit,5.74,50
29287,Edward Hooks,7/2/2009,High,canned beer,270.97,49
29510,Don Miller,4/15/2011,Critical,root vegetables,260.98,22
29795,Grant Carroll,11/25/2011,High,meat,387.99,49
29795,Grant Carroll,11/25/2011,High,frankfurter,160.98,48
29861,Brad Eason,4/25/2012,Critical,tropical fruit,3.08,11
30658,Charles McCrossin,3/26/2011,Medium,tropical fruit,499.99,35
30658,Charles McCrossin,3/26/2011,Medium,citrus fruit,138.14,44
30947,Charles McCrossin,7/14/2010,Low,hamburger meat,41.94,17
30947,Charles McCrossin,7/14/2010,Low,chicken,7.31,45
31077,Bryan Mills,10/23/2010,Not Specified,chicken,65.99,36
31111,Monica Federle,8/24/2009,Not Specified,frankfurter,7.64,27
31169,Michelle Lonsdale,6/9/2011,Low,canned beer,40.97,6
31270,Michelle Lonsdale,11/23/2012,Medium,turkey,299.05,21
31270,Michelle Lonsdale,11/23/2012,Medium,packaged fruit/vegetables,291.73,3
31270,Michelle Lonsdale,11/23/2012,Medium,pasta,30.42,5
31364,Beth Thompson,5/1/2009,Not Specified,citrus fruit,415.88,2
31393,Cindy Schnelling,5/11/2012,Critical,sausage,19.94,4
31393,Cindy Schnelling,5/11/2012,Critical,whole milk,3.68,31
31492,Nicole Hansen,10/15/2010,Critical,canned beer,11.97,26
31492,Nicole Hansen,10/15/2010,Critical,citrus fruit,29.74,34
31492,Nicole Hansen,10/15/2010,Critical,liquor (appetizer),95.43,23
31558,Cari Schnelling,7/23/2011,Low,citrus fruit,300.65,12
31558,Cari Schnelling,7/23/2011,Low,sausage,45.19,42
31618,Roy Skaria,7/11/2011,Critical,chicken,28.53,14
31684,Susan Vittorini,9/16/2012,Critical,hamburger meat,5.68,15
31684,Susan Vittorini,9/16/2012,Critical,sausage,15.51,28
31781,Sylvia Foulston,1/16/2009,Medium,beef,5.81,46
31781,Sylvia Foulston,1/16/2009,Medium,citrus fruit,1.81,41
32193,Chad Cunningham,10/20/2010,Low,UHT-milk,6.68,4
32193,Chad Cunningham,10/20/2010,Low,candy,3.93,27
32229,Carlos Daly,8/30/2010,High,newspapers,150.98,8
32229,Carlos Daly,8/30/2010,High,beef,1.76,15
32743,Grant Carroll,5/7/2010,Critical,sausage,177.98,19
32806,Julia West,6/21/2011,Critical,frankfurter,20.24,8
33123,Roy Skaria,11/24/2010,Medium,canned beer,150.98,41
33159,Cindy Schnelling,4/27/2012,Medium,bottled beer,20.99,3
33186,Don Jones,8/28/2012,Low,onions,65.99,24
33377,Beth Thompson,7/31/2011,High,tropical fruit,5.18,20
33377,Beth Thompson,7/31/2011,High,bottled water,17.24,19
33444,Alan Barnes,10/6/2012,Medium,beef,2.6,11
33444,Alan Barnes,10/6/2012,Medium,sausage,14.97,8
33703,Carl Ludwig,2/6/2010,Not Specified,hair spray,60.98,4
33703,Carl Ludwig,2/6/2010,Not Specified,chicken,29.74,25
33703,Carl Ludwig,2/6/2010,Not Specified,pork,12.21,4
33734,Jamie Kunitz,10/17/2011,Not Specified,ice cream,29.14,13
33888,Heather Kirkland,8/20/2009,Not Specified,meat,11.5,31
33888,Heather Kirkland,8/20/2009,Not Specified,other vegetables,15.7,3
33888,Heather Kirkland,8/20/2009,Not Specified,bottled water,225.02,47
33894,Doug Bickford,6/14/2010,Critical,tropical fruit,9.27,14
33894,Doug Bickford,6/14/2010,Critical,photo/film,6.84,5
33894,Doug Bickford,6/14/2010,Critical,sausage,4.98,48
33894,Doug Bickford,6/14/2010,Critical,grapes,32.98,13
33922,Carlos Daly,2/27/2010,Not Specified,domestic eggs,500.97,31
34177,Toby Braunhardt,8/15/2009,High,rolls/buns,2.61,13
34177,Toby Braunhardt,8/15/2009,High,tropical fruit,7.31,26
34177,Toby Braunhardt,8/15/2009,High,chicken,20.99,50
34215,Cari Schnelling,5/14/2011,High,frankfurter,5.34,6
34246,Thomas Seio,10/7/2010,Critical,berries,4.06,49
34246,Thomas Seio,10/7/2010,Critical,margarine,99.99,18
34246,Thomas Seio,10/7/2010,Critical,tropical fruit,11.58,27
34631,Brendan Dodson,10/23/2009,Not Specified,ham,3.36,5
34631,Brendan Dodson,10/23/2009,Not Specified,hamburger meat,699.99,19
35047,Charlotte Melton,6/9/2010,Medium,yogurt,4.71,31
35266,Beth Thompson,1/10/2011,Not Specified,soda,5.84,39
35266,Beth Thompson,1/10/2011,Not Specified,yogurt,218.75,28
35847,Eugene Barchas,1/30/2009,Critical,soda,15.98,23
36001,Michelle Lonsdale,3/28/2011,Low,bottled water,22.38,45
36001,Michelle Lonsdale,3/28/2011,Low,sausage,12.95,47
36134,Grant Carroll,11/22/2010,Low,citrus fruit,155.99,6
36135,Beth Paige,5/30/2011,Not Specified,shopping bags,35.99,33
36644,Dorothy Wardle,5/13/2012,High,newspapers,99.99,24
36646,Muhammed MacIntyre,6/8/2010,Medium,frankfurter,48.91,24
36707,Charlotte Melton,11/29/2009,Medium,sausage,3.78,47
37253,Muhammed MacIntyre,9/1/2012,High,frankfurter,26.31,46
37541,Claudia Miner,2/26/2010,Medium,salt,20.95,3
37541,Claudia Miner,2/26/2010,Medium,oil,55.98,10
37541,Claudia Miner,2/26/2010,Medium,curd,80.98,18
37634,Brendan Dodson,5/21/2012,Medium,other vegetables,12.21,32
37793,Dorothy Wardle,11/8/2009,Not Specified,citrus fruit,13.9,16
37860,Mike Pelletier,8/27/2010,Medium,frankfurter,55.5,1
38884,Edward Hooks,8/17/2012,High,root vegetables,5.28,47
38884,Edward Hooks,8/17/2012,High,tropical fruit,296.18,20
39364,Jamie Kunitz,11/9/2012,High,beef,92.23,29
39364,Jamie Kunitz,11/9/2012,High,berries,1270.99,15
39457,Julia West,6/2/2011,Critical,canned beer,122.99,40
39683,Jeremy Lonsdale,8/10/2011,High,whipped/sour cream,18.99,31
39683,Jeremy Lonsdale,8/10/2011,High,root vegetables,218.08,41
39683,Jeremy Lonsdale,8/10/2011,High,whole milk,20.24,6
39683,Jeremy Lonsdale,8/10/2011,High,beef,2.18,30
39846,Cindy Schnelling,2/27/2009,Low,frozen vegetables,4.98,14
40036,Heather Kirkland,6/7/2010,Not Specified,rolls/buns,65.99,10
40067,Alan Barnes,2/17/2012,Low,whole milk,65.99,38
40132,Hunter Glantz,2/23/2012,Low,whole milk,50.98,26
40132,Hunter Glantz,2/23/2012,Low,citrus fruit,124.49,36
40132,Hunter Glantz,2/23/2012,Low,pastry,22.38,16
40160,Julia West,10/15/2009,Critical,frankfurter,63.94,23
40518,Carlos Daly,3/13/2009,Critical,tropical fruit,4.13,3
40804,Barry French,3/12/2010,Medium,frankfurter,122.99,36
40902,Susan Vittorini,7/7/2009,Low,berries,7.1,25
41063,Carl Jackson,11/21/2012,Low,rolls/buns,21.38,22
41063,Carl Jackson,11/21/2012,Low,root vegetables,35.99,10
41063,Carl Jackson,11/21/2012,Low,yogurt,85.99,26
41153,Alan Barnes,3/2/2009,Medium,other vegetables,30.73,29
41184,Charlotte Melton,9/22/2011,High,berries,15.7,7
41409,Beth Thompson,7/21/2011,Not Specified,berries,11.5,1
41696,Bryan Mills,7/13/2009,Not Specified,other vegetables,4.48,45
42209,Alan Barnes,3/29/2010,High,rolls/buns,67.84,5
42209,Alan Barnes,3/29/2010,High,ham,276.2,31
42561,Beth Paige,2/6/2010,Low,whole milk,85.99,15
42564,Mike Pelletier,9/12/2012,Low,tropical fruit,200.98,35
42695,Delfina Latchford,12/22/2010,Not Specified,bottled water,65.99,12
42981,Susan Vittorini,5/30/2009,Critical,butter milk,896.99,4
43109,Dorothy Wardle,12/21/2012,Critical,newspapers,15.01,19
43109,Dorothy Wardle,12/21/2012,Critical,coffee,20.97,25
43109,Dorothy Wardle,12/21/2012,Critical,bottled beer,10.01,10
43203,Susan Vittorini,2/14/2012,Not Specified,onions,6.68,32
43236,Jamie Kunitz,7/3/2010,Not Specified,hamburger meat,9.77,20
43267,Fred Wasserman,5/16/2011,Critical,sausage,76.72,17
43329,Doug Bickford,3/7/2010,Medium,hard cheese,59.98,42
43330,Fred Wasserman,4/27/2009,Not Specified,sausage,65.99,40
43364,Susan Vittorini,4/7/2012,High,hamburger meat,23.99,21
43392,Doug Bickford,12/31/2010,Medium,onions,162.93,39
43781,Claudia Miner,2/2/2010,Not Specified,coffee,10.94,45
43781,Claudia Miner,2/2/2010,Not Specified,shopping bags,40.98,21
44071,Frank Price,4/15/2012,Not Specified,yogurt,5.99,19
44071,Frank Price,4/15/2012,Not Specified,soda,65.99,20
44519,Dorothy Wardle,5/19/2010,High,sliced cheese,4.57,48
44519,Dorothy Wardle,5/19/2010,High,sausage,10.67,34
44519,Dorothy Wardle,5/19/2010,High,yogurt,442.14,34
44708,Allen Rosenblatt,7/27/2009,Not Specified,domestic eggs,1.74,15
44772,Dorothy Wardle,3/31/2009,Not Specified,whole milk,55.99,1
44839,Julia West,6/11/2012,Critical,meat,33.98,27
45217,Ralph Knight,9/1/2010,Not Specified,dish cleaner,200.99,40
45440,Michelle Lonsdale,8/9/2012,Critical,other vegetables,135.99,5
45766,Charlotte Melton,5/7/2010,High,whole milk,63.94,37
45766,Charlotte Melton,5/7/2010,High,other vegetables,140.99,28
45861,Allen Rosenblatt,8/25/2011,Medium,tropical fruit,20.99,39
45957,Neola Schneider,9/21/2010,Critical,baking powder,39.24,20
45957,Neola Schneider,9/21/2010,Critical,specialty bar,7.64,19
46912,Joy Bell,6/30/2012,Low,ice cream,54.74,5
46980,Monica Federle,1/17/2011,Critical,frankfurter,6.3,34
47460,Jamie Kunitz,10/10/2010,Critical,canned beer,2.84,12
47462,Susan Vittorini,6/9/2011,High,bottled water,3.58,43
47462,Susan Vittorini,6/9/2011,High,other vegetables,5.85,18
47462,Susan Vittorini,6/9/2011,High,citrus fruit,3.29,41
47620,Charles McCrossin,6/26/2012,Low,sausage,10.98,27
47749,Cari Schnelling,3/16/2010,Medium,domestic eggs,8.45,46
